"year","zone","dataCollectionTime","group","measure","value"
"2008","S01001820","6 To 8 Week Review","Exclusively Breastfed","Ratio","22.7"
"2009","S01001820","6 To 8 Week Review","Exclusively Breastfed","Ratio","18.8"
"2010","S01001820","6 To 8 Week Review","Exclusively Breastfed","Ratio","18.2"
"2011","S01001820","6 To 8 Week Review","Exclusively Breastfed","Ratio","15.4"
"2012","S01001820","6 To 8 Week Review","Exclusively Breastfed","Ratio","36.4"
"2013","S01001820","6 To 8 Week Review","Exclusively Breastfed","Ratio",30
"2003","S01001820","6 To 8 Week Review","Exclusively Breastfed","Ratio","30.8"
"2002","S01001820","6 To 8 Week Review","Exclusively Breastfed","Ratio","8.3"
"2001","S01001820","6 To 8 Week Review","Exclusively Breastfed","Ratio",10
"2004","S01001820","First Visit","Breastfed","Ratio","27.3"
"2001","S01001820","First Visit","Exclusively Breastfed","Ratio",40
"2004","S01001820","First Visit","Exclusively Breastfed","Ratio","18.2"
"2005","S01001820","First Visit","Exclusively Breastfed","Ratio",25
"2007","S01001820","First Visit","Breastfed","Ratio","18.8"
"2011","S01001820","First Visit","Breastfed","Ratio","57.1"
"2012","S01001820","First Visit","Breastfed","Ratio",70
"2008","S01001820","First Visit","Breastfed","Ratio","40.9"
"2002","S01001820","First Visit","Exclusively Breastfed","Ratio","16.7"
"2006","S01001820","First Visit","Exclusively Breastfed","Ratio","22.2"
"2013","S01001820","First Visit","Breastfed","Ratio","41.7"
"2006","S01001820","First Visit","Breastfed","Ratio","22.2"
"2011","S01001820","First Visit","Exclusively Breastfed","Ratio","42.9"
"2012","S01001820","First Visit","Exclusively Breastfed","Ratio",50
"2005","S01001820","First Visit","Breastfed","Ratio","33.3"
"2007","S01001820","First Visit","Exclusively Breastfed","Ratio","6.3"
"2009","S01001820","First Visit","Breastfed","Ratio","56.3"
"2003","S01001820","First Visit","Breastfed","Ratio",50
"2008","S01001820","First Visit","Exclusively Breastfed","Ratio","31.8"
"2003","S01001820","First Visit","Exclusively Breastfed","Ratio",50
"2009","S01001820","First Visit","Exclusively Breastfed","Ratio","43.8"
"2002","S01001820","First Visit","Breastfed","Ratio","33.3"
"2001","S01001820","First Visit","Breastfed","Ratio",40
"2013","S01001820","First Visit","Exclusively Breastfed","Ratio","33.3"
"2010","S01001820","First Visit","Breastfed","Ratio","63.6"
"2010","S01001820","First Visit","Exclusively Breastfed","Ratio","45.5"
"2001","S01001821","First Visit","Exclusively Breastfed","Count",9
"2003","S01001821","6 To 8 Week Review","Breastfed","Count",10
"2004","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",9
"2004","S01001821","First Visit","Exclusively Breastfed","Count",11
"2007","S01001821","First Visit","Breastfed","Count",13
"2005","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2004","S01001821","6 To 8 Week Review","Breastfed","Count",11
"2005","S01001821","First Visit","Exclusively Breastfed","Count",4
"2011","S01001821","First Visit","Breastfed","Count",18
"2010","S01001821","6 To 8 Week Review","Breastfed","Count",9
"2006","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2002","S01001821","First Visit","Exclusively Breastfed","Count",10
"2008","S01001821","First Visit","Breastfed","Count",5
"2012","S01001821","6 To 8 Week Review","Breastfed","Count",7
"2006","S01001821","First Visit","Breastfed","Count",5
"2012","S01001821","First Visit","Breastfed","Count",11
"2007","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2008","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2004","S01001821","First Visit","Breastfed","Count",15
"2006","S01001821","First Visit","Exclusively Breastfed","Count",5
"2008","S01001821","6 To 8 Week Review","Breastfed","Count",4
"2013","S01001821","6 To 8 Week Review","Breastfed","Count",9
"2009","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2013","S01001821","First Visit","Breastfed","Count",11
"2011","S01001821","First Visit","Exclusively Breastfed","Count",11
"2010","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2002","S01001821","6 To 8 Week Review","Breastfed","Count",9
"2006","S01001821","6 To 8 Week Review","Breastfed","Count",4
"2012","S01001821","First Visit","Exclusively Breastfed","Count",7
"2007","S01001821","First Visit","Exclusively Breastfed","Count",12
"2011","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",10
"2009","S01001821","6 To 8 Week Review","Breastfed","Count",3
"2008","S01001821","First Visit","Exclusively Breastfed","Count",5
"2012","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2009","S01001821","First Visit","Breastfed","Count",5
"2003","S01001821","First Visit","Breastfed","Count",18
"2005","S01001821","First Visit","Breastfed","Count",6
"2013","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2005","S01001821","6 To 8 Week Review","Breastfed","Count",6
"2003","S01001821","First Visit","Exclusively Breastfed","Count",13
"2002","S01001821","First Visit","Breastfed","Count",12
"2003","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",7
"2001","S01001821","6 To 8 Week Review","Breastfed","Count",8
"2009","S01001821","First Visit","Exclusively Breastfed","Count",2
"2001","S01001821","First Visit","Breastfed","Count",13
"2010","S01001821","First Visit","Breastfed","Count",14
"2007","S01001821","6 To 8 Week Review","Breastfed","Count",8
"2002","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2013","S01001821","First Visit","Exclusively Breastfed","Count",6
"2001","S01001821","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2010","S01001821","First Visit","Exclusively Breastfed","Count",10
"2011","S01001821","6 To 8 Week Review","Breastfed","Count",15
"2010","S01001821","6 To 8 Week Review","Breastfed","Ratio","40.9"
"2011","S01001821","6 To 8 Week Review","Breastfed","Ratio","48.4"
"2005","S01001821","6 To 8 Week Review","Breastfed","Ratio","35.3"
"2012","S01001821","6 To 8 Week Review","Breastfed","Ratio",35
"2008","S01001821","6 To 8 Week Review","Breastfed","Ratio","21.1"
"2013","S01001821","6 To 8 Week Review","Breastfed","Ratio","39.1"
"2004","S01001821","6 To 8 Week Review","Breastfed","Ratio","40.7"
"2003","S01001821","6 To 8 Week Review","Breastfed","Ratio","45.5"
"2006","S01001821","6 To 8 Week Review","Breastfed","Ratio",25
"2002","S01001821","6 To 8 Week Review","Breastfed","Ratio","40.9"
"2009","S01001821","6 To 8 Week Review","Breastfed","Ratio","23.1"
"2001","S01001821","6 To 8 Week Review","Breastfed","Ratio",40
"2007","S01001821","6 To 8 Week Review","Breastfed","Ratio","42.1"
"2004","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","33.3"
"2005","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","29.4"
"2006","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","12.5"
"2007","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","21.1"
"2008","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","21.1"
"2009","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","23.1"
"2010","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","18.2"
"2011","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","32.3"
"2012","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio",20
"2013","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","26.1"
"2003","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","31.8"
"2002","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio","27.3"
"2001","S01001821","6 To 8 Week Review","Exclusively Breastfed","Ratio",30
"2004","S01001821","First Visit","Breastfed","Ratio","55.6"
"2001","S01001821","First Visit","Exclusively Breastfed","Ratio",36
"2004","S01001821","First Visit","Exclusively Breastfed","Ratio","40.7"
"2005","S01001821","First Visit","Exclusively Breastfed","Ratio","23.5"
"2007","S01001821","First Visit","Breastfed","Ratio","72.2"
"2011","S01001821","First Visit","Breastfed","Ratio","58.1"
"2012","S01001821","First Visit","Breastfed","Ratio",50
"2008","S01001821","First Visit","Breastfed","Ratio",25
"2002","S01001821","First Visit","Exclusively Breastfed","Ratio","41.7"
"2006","S01001821","First Visit","Exclusively Breastfed","Ratio","31.3"
"2013","S01001821","First Visit","Breastfed","Ratio",55
"2006","S01001821","First Visit","Breastfed","Ratio","31.3"
"2011","S01001821","First Visit","Exclusively Breastfed","Ratio","35.5"
"2012","S01001821","First Visit","Exclusively Breastfed","Ratio","31.8"
"2005","S01001821","First Visit","Breastfed","Ratio","35.3"
"2007","S01001821","First Visit","Exclusively Breastfed","Ratio","66.7"
"2009","S01001821","First Visit","Breastfed","Ratio","38.5"
"2003","S01001821","First Visit","Breastfed","Ratio","78.3"
"2008","S01001821","First Visit","Exclusively Breastfed","Ratio",25
"2003","S01001821","First Visit","Exclusively Breastfed","Ratio","56.5"
"2009","S01001821","First Visit","Exclusively Breastfed","Ratio","15.4"
"2002","S01001821","First Visit","Breastfed","Ratio",50
"2001","S01001821","First Visit","Breastfed","Ratio",52
"2013","S01001821","First Visit","Exclusively Breastfed","Ratio",30
"2010","S01001821","First Visit","Breastfed","Ratio","63.6"
"2010","S01001821","First Visit","Exclusively Breastfed","Ratio","45.5"
"2001","S01001822","First Visit","Exclusively Breastfed","Count",6
"2003","S01001822","6 To 8 Week Review","Breastfed","Count",5
"2004","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2004","S01001822","First Visit","Exclusively Breastfed","Count",9
"2007","S01001822","First Visit","Breastfed","Count",5
"2005","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2004","S01001822","6 To 8 Week Review","Breastfed","Count",11
"2005","S01001822","First Visit","Exclusively Breastfed","Count",5
"2011","S01001822","First Visit","Breastfed","Count",10
"2010","S01001822","6 To 8 Week Review","Breastfed","Count",4
"2006","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2002","S01001822","First Visit","Exclusively Breastfed","Count",8
"2008","S01001822","First Visit","Breastfed","Count",8
"2012","S01001822","6 To 8 Week Review","Breastfed","Count",3
"2006","S01001822","First Visit","Breastfed","Count",10
"2012","S01001822","First Visit","Breastfed","Count",6
"2007","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2008","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2004","S01001822","First Visit","Breastfed","Count",12
"2006","S01001822","First Visit","Exclusively Breastfed","Count",9
"2008","S01001822","6 To 8 Week Review","Breastfed","Count",8
"2013","S01001822","6 To 8 Week Review","Breastfed","Count",11
"2009","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2013","S01001822","First Visit","Breastfed","Count",10
"2011","S01001822","First Visit","Exclusively Breastfed","Count",7
"2010","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2002","S01001822","6 To 8 Week Review","Breastfed","Count",7
"2006","S01001822","6 To 8 Week Review","Breastfed","Count",8
"2012","S01001822","First Visit","Exclusively Breastfed","Count",2
"2007","S01001822","First Visit","Exclusively Breastfed","Count",5
"2011","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2009","S01001822","6 To 8 Week Review","Breastfed","Count",6
"2008","S01001822","First Visit","Exclusively Breastfed","Count",6
"2012","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2009","S01001822","First Visit","Breastfed","Count",8
"2003","S01001822","First Visit","Breastfed","Count",6
"2005","S01001822","First Visit","Breastfed","Count",9
"2013","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",7
"2005","S01001822","6 To 8 Week Review","Breastfed","Count",6
"2003","S01001822","First Visit","Exclusively Breastfed","Count",5
"2002","S01001822","First Visit","Breastfed","Count",8
"2003","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2001","S01001822","6 To 8 Week Review","Breastfed","Count",7
"2009","S01001822","First Visit","Exclusively Breastfed","Count",5
"2001","S01001822","First Visit","Breastfed","Count",8
"2010","S01001822","First Visit","Breastfed","Count",6
"2007","S01001822","6 To 8 Week Review","Breastfed","Count",4
"2002","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2013","S01001822","First Visit","Exclusively Breastfed","Count",8
"2001","S01001822","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2010","S01001822","First Visit","Exclusively Breastfed","Count",4
"2011","S01001822","6 To 8 Week Review","Breastfed","Count",6
"2010","S01001822","6 To 8 Week Review","Breastfed","Ratio","36.4"
"2011","S01001822","6 To 8 Week Review","Breastfed","Ratio","46.2"
"2005","S01001822","6 To 8 Week Review","Breastfed","Ratio","42.9"
"2012","S01001822","6 To 8 Week Review","Breastfed","Ratio",50
"2008","S01001822","6 To 8 Week Review","Breastfed","Ratio",80
"2013","S01001822","6 To 8 Week Review","Breastfed","Ratio","73.3"
"2004","S01001822","6 To 8 Week Review","Breastfed","Ratio","68.8"
"2003","S01001822","6 To 8 Week Review","Breastfed","Ratio","55.6"
"2006","S01001822","6 To 8 Week Review","Breastfed","Ratio","72.7"
"2002","S01001822","6 To 8 Week Review","Breastfed","Ratio","53.8"
"2009","S01001822","6 To 8 Week Review","Breastfed","Ratio","54.5"
"2001","S01001822","6 To 8 Week Review","Breastfed","Ratio","53.8"
"2007","S01001822","6 To 8 Week Review","Breastfed","Ratio","44.4"
"2004","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","31.3"
"2005","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","21.4"
"2006","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","45.5"
"2007","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","22.2"
"2008","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio",60
"2009","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","54.5"
"2010","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","27.3"
"2011","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","46.2"
"2012","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2013","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","46.7"
"2003","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","33.3"
"2002","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","30.8"
"2001","S01001822","6 To 8 Week Review","Exclusively Breastfed","Ratio","46.2"
"2004","S01001822","First Visit","Breastfed","Ratio","85.7"
"2001","S01001822","First Visit","Exclusively Breastfed","Ratio","46.2"
"2004","S01001822","First Visit","Exclusively Breastfed","Ratio","64.3"
"2005","S01001822","First Visit","Exclusively Breastfed","Ratio","33.3"
"2007","S01001822","First Visit","Breastfed","Ratio",50
"2011","S01001822","First Visit","Breastfed","Ratio","83.3"
"2012","S01001822","First Visit","Breastfed","Ratio","85.7"
"2008","S01001822","First Visit","Breastfed","Ratio",80
"2002","S01001822","First Visit","Exclusively Breastfed","Ratio","61.5"
"2006","S01001822","First Visit","Exclusively Breastfed","Ratio","81.8"
"2013","S01001822","First Visit","Breastfed","Ratio","66.7"
"2006","S01001822","First Visit","Breastfed","Ratio","90.9"
"2011","S01001822","First Visit","Exclusively Breastfed","Ratio","58.3"
"2012","S01001822","First Visit","Exclusively Breastfed","Ratio","28.6"
"2005","S01001822","First Visit","Breastfed","Ratio",60
"2007","S01001822","First Visit","Exclusively Breastfed","Ratio",50
"2009","S01001822","First Visit","Breastfed","Ratio","72.7"
"2003","S01001822","First Visit","Breastfed","Ratio",60
"2008","S01001822","First Visit","Exclusively Breastfed","Ratio",60
"2003","S01001822","First Visit","Exclusively Breastfed","Ratio",50
"2009","S01001822","First Visit","Exclusively Breastfed","Ratio","45.5"
"2002","S01001822","First Visit","Breastfed","Ratio","61.5"
"2001","S01001822","First Visit","Breastfed","Ratio","61.5"
"2013","S01001822","First Visit","Exclusively Breastfed","Ratio","53.3"
"2010","S01001822","First Visit","Breastfed","Ratio","54.5"
"2010","S01001822","First Visit","Exclusively Breastfed","Ratio","36.4"
"2001","S01001823","First Visit","Exclusively Breastfed","Count",4
"2003","S01001823","6 To 8 Week Review","Breastfed","Count",4
"2004","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2004","S01001823","First Visit","Exclusively Breastfed","Count",1
"2007","S01001823","First Visit","Breastfed","Count",4
"2005","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2004","S01001823","6 To 8 Week Review","Breastfed","Count",1
"2005","S01001823","First Visit","Exclusively Breastfed","Count",5
"2011","S01001823","First Visit","Breastfed","Count",5
"2010","S01001823","6 To 8 Week Review","Breastfed","Count",4
"2006","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2002","S01001823","First Visit","Exclusively Breastfed","Count",4
"2008","S01001823","First Visit","Breastfed","Count",8
"2012","S01001823","6 To 8 Week Review","Breastfed","Count",8
"2006","S01001823","First Visit","Breastfed","Count",7
"2012","S01001823","First Visit","Breastfed","Count",10
"2007","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2008","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2004","S01001823","First Visit","Breastfed","Count",3
"2006","S01001823","First Visit","Exclusively Breastfed","Count",5
"2008","S01001823","6 To 8 Week Review","Breastfed","Count",3
"2013","S01001823","6 To 8 Week Review","Breastfed","Count",7
"2009","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2013","S01001823","First Visit","Breastfed","Count",11
"2011","S01001823","First Visit","Exclusively Breastfed","Count",5
"2010","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2002","S01001823","6 To 8 Week Review","Breastfed","Count",3
"2006","S01001823","6 To 8 Week Review","Breastfed","Count",5
"2012","S01001823","First Visit","Exclusively Breastfed","Count",4
"2007","S01001823","First Visit","Exclusively Breastfed","Count",2
"2011","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2009","S01001823","6 To 8 Week Review","Breastfed","Count",2
"2008","S01001823","First Visit","Exclusively Breastfed","Count",3
"2012","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2009","S01001823","First Visit","Breastfed","Count",4
"2003","S01001823","First Visit","Breastfed","Count",7
"2005","S01001823","First Visit","Breastfed","Count",7
"2013","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2005","S01001823","6 To 8 Week Review","Breastfed","Count",4
"2003","S01001823","First Visit","Exclusively Breastfed","Count",4
"2002","S01001823","First Visit","Breastfed","Count",4
"2003","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2001","S01001823","6 To 8 Week Review","Breastfed","Count",4
"2009","S01001823","First Visit","Exclusively Breastfed","Count",3
"2001","S01001823","First Visit","Breastfed","Count",6
"2010","S01001823","First Visit","Breastfed","Count",9
"2007","S01001823","6 To 8 Week Review","Breastfed","Count",2
"2002","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2013","S01001823","First Visit","Exclusively Breastfed","Count",6
"2001","S01001823","6 To 8 Week Review","Exclusively Breastfed","Count",3
"2010","S01001823","First Visit","Exclusively Breastfed","Count",5
"2011","S01001823","6 To 8 Week Review","Breastfed","Count",3
"2010","S01001823","6 To 8 Week Review","Breastfed","Ratio","23.5"
"2011","S01001823","6 To 8 Week Review","Breastfed","Ratio",20
"2005","S01001823","6 To 8 Week Review","Breastfed","Ratio","14.3"
"2012","S01001823","6 To 8 Week Review","Breastfed","Ratio","53.3"
"2008","S01001823","6 To 8 Week Review","Breastfed","Ratio",20
"2013","S01001823","6 To 8 Week Review","Breastfed","Ratio","30.4"
"2004","S01001823","6 To 8 Week Review","Breastfed","Ratio","5.6"
"2003","S01001823","6 To 8 Week Review","Breastfed","Ratio","28.6"
"2006","S01001823","6 To 8 Week Review","Breastfed","Ratio","31.3"
"2002","S01001823","6 To 8 Week Review","Breastfed","Ratio",20
"2009","S01001823","6 To 8 Week Review","Breastfed","Ratio",20
"2001","S01001823","6 To 8 Week Review","Breastfed","Ratio","28.6"
"2007","S01001823","6 To 8 Week Review","Breastfed","Ratio","18.2"
"2004","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","5.6"
"2005","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","10.7"
"2006","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio",25
"2007","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","9.1"
"2008","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","6.7"
"2009","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio",20
"2010","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","17.6"
"2011","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","13.3"
"2012","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","13.3"
"2013","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","17.4"
"2003","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","21.4"
"2002","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","13.3"
"2001","S01001823","6 To 8 Week Review","Exclusively Breastfed","Ratio","21.4"
"2004","S01001823","First Visit","Breastfed","Ratio","16.7"
"2001","S01001823","First Visit","Exclusively Breastfed","Ratio","23.5"
"2004","S01001823","First Visit","Exclusively Breastfed","Ratio","5.6"
"2005","S01001823","First Visit","Exclusively Breastfed","Ratio","17.2"
"2007","S01001823","First Visit","Breastfed","Ratio","36.4"
"2011","S01001823","First Visit","Breastfed","Ratio","29.4"
"2012","S01001823","First Visit","Breastfed","Ratio","62.5"
"2008","S01001823","First Visit","Breastfed","Ratio",50
"2002","S01001823","First Visit","Exclusively Breastfed","Ratio",25
"2006","S01001823","First Visit","Exclusively Breastfed","Ratio","31.3"
"2013","S01001823","First Visit","Breastfed","Ratio","47.8"
"2006","S01001823","First Visit","Breastfed","Ratio","43.8"
"2011","S01001823","First Visit","Exclusively Breastfed","Ratio","29.4"
"2012","S01001823","First Visit","Exclusively Breastfed","Ratio",25
"2005","S01001823","First Visit","Breastfed","Ratio","24.1"
"2007","S01001823","First Visit","Exclusively Breastfed","Ratio","18.2"
"2009","S01001823","First Visit","Breastfed","Ratio",40
"2003","S01001823","First Visit","Breastfed","Ratio",50
"2008","S01001823","First Visit","Exclusively Breastfed","Ratio","18.8"
"2003","S01001823","First Visit","Exclusively Breastfed","Ratio","28.6"
"2009","S01001823","First Visit","Exclusively Breastfed","Ratio",30
"2002","S01001823","First Visit","Breastfed","Ratio",25
"2001","S01001823","First Visit","Breastfed","Ratio","35.3"
"2013","S01001823","First Visit","Exclusively Breastfed","Ratio","26.1"
"2010","S01001823","First Visit","Breastfed","Ratio",50
"2010","S01001823","First Visit","Exclusively Breastfed","Ratio","27.8"
"2004","S01001824","6 To 8 Week Review","Breastfed","Count",3
"2004","S01001824","6 To 8 Week Review","Breastfed","Ratio","37.5"
"2005","S01001824","6 To 8 Week Review","Breastfed","Ratio",60
"2012","S01001824","First Visit","Breastfed","Count",7
"2007","S01001824","First Visit","Breastfed","Count",6
"2006","S01001824","6 To 8 Week Review","Breastfed","Ratio",50
"2008","S01001824","6 To 8 Week Review","Breastfed","Count",2
"2007","S01001824","6 To 8 Week Review","Breastfed","Ratio","66.7"
"2008","S01001824","6 To 8 Week Review","Breastfed","Ratio","66.7"
"2003","S01001824","6 To 8 Week Review","Breastfed","Count",4
"2007","S01001824","6 To 8 Week Review","Breastfed","Count",6
"2009","S01001824","6 To 8 Week Review","Breastfed","Ratio","62.5"
"2010","S01001824","6 To 8 Week Review","Breastfed","Ratio",75
"2008","S01001824","First Visit","Breastfed","Count",3
"2006","S01001824","First Visit","Breastfed","Count",5
"2011","S01001824","6 To 8 Week Review","Breastfed","Ratio",50
"2004","S01001824","First Visit","Breastfed","Count",4
"2012","S01001824","6 To 8 Week Review","Breastfed","Ratio","66.7"
"2013","S01001824","6 To 8 Week Review","Breastfed","Ratio","83.3"
"2006","S01001824","6 To 8 Week Review","Breastfed","Count",4
"2003","S01001824","6 To 8 Week Review","Breastfed","Ratio","44.4"
"2011","S01001824","6 To 8 Week Review","Breastfed","Count",2
"2009","S01001824","6 To 8 Week Review","Breastfed","Count",5
"2002","S01001824","6 To 8 Week Review","Breastfed","Ratio","33.3"
"2001","S01001824","6 To 8 Week Review","Breastfed","Ratio","57.1"
"2012","S01001824","6 To 8 Week Review","Breastfed","Count",6
"2001","S01001824","First Visit","Breastfed","Ratio","57.1"
"2003","S01001824","First Visit","Breastfed","Count",4
"2004","S01001824","First Visit","Breastfed","Ratio",50
"2011","S01001824","First Visit","Breastfed","Count",3
"2002","S01001824","6 To 8 Week Review","Breastfed","Count",1
"2005","S01001824","First Visit","Breastfed","Ratio",60
"2002","S01001824","First Visit","Breastfed","Ratio","66.7"
"2001","S01001824","First Visit","Breastfed","Count",4
"2006","S01001824","First Visit","Breastfed","Ratio","83.3"
"2009","S01001824","First Visit","Breastfed","Count",5
"2011","S01001824","First Visit","Breastfed","Ratio",75
"2001","S01001824","6 To 8 Week Review","Breastfed","Count",4
"2013","S01001824","6 To 8 Week Review","Breastfed","Count",5
"2012","S01001824","First Visit","Breastfed","Ratio","87.5"
"2007","S01001824","First Visit","Breastfed","Ratio","66.7"
"2005","S01001824","First Visit","Breastfed","Count",3
"2008","S01001824","First Visit","Breastfed","Ratio",100
"2013","S01001824","First Visit","Breastfed","Count",5
"2010","S01001824","First Visit","Breastfed","Count",6
"2003","S01001824","First Visit","Breastfed","Ratio","44.4"
"2005","S01001824","6 To 8 Week Review","Breastfed","Count",3
"2009","S01001824","First Visit","Breastfed","Ratio","62.5"
"2010","S01001824","6 To 8 Week Review","Breastfed","Count",6
"2013","S01001824","First Visit","Breastfed","Ratio","83.3"
"2010","S01001824","First Visit","Breastfed","Ratio",75
"2002","S01001824","First Visit","Breastfed","Count",2
"2001","S01001824","First Visit","Exclusively Breastfed","Count",4
"2004","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2004","S01001824","First Visit","Exclusively Breastfed","Count",3
"2007","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2011","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2005","S01001824","First Visit","Exclusively Breastfed","Count",3
"2002","S01001824","First Visit","Exclusively Breastfed","Count",2
"2008","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2006","S01001824","First Visit","Exclusively Breastfed","Count",4
"2012","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2011","S01001824","First Visit","Exclusively Breastfed","Count",2
"2013","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",5
"2005","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",2
"2012","S01001824","First Visit","Exclusively Breastfed","Count",6
"2007","S01001824","First Visit","Exclusively Breastfed","Count",5
"2003","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2008","S01001824","First Visit","Exclusively Breastfed","Count",2
"2006","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2009","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2003","S01001824","First Visit","Exclusively Breastfed","Count",3
"2002","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",1
"2009","S01001824","First Visit","Exclusively Breastfed","Count",4
"2001","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",4
"2013","S01001824","First Visit","Exclusively Breastfed","Count",5
"2010","S01001824","First Visit","Exclusively Breastfed","Count",6
"2010","S01001824","6 To 8 Week Review","Exclusively Breastfed","Count",6
"2004","S01001824","6 To 8 Week Review","Exclusively Breastfed","Ratio","12.5"
"2005","S01001824","6 To 8 Week Review","Exclusively Breastfed","Ratio",40
"2006","S01001824","6 To 8 Week Review","Exclusively Breastfed","Ratio",50
"2007","S01001824","6 To 8 Week Review","Exclusively Breastfed","Ratio","44.4"
